suite	id	result	method
structured_lemma	structured_lemma_qsynth_ea_csv_392_23	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_24	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_392_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_0	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_10	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_423_11	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_12	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_13	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_14	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_15	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_423_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_481_0	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_481_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_481_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_481_11	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_481_12	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_481_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_481_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_481_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_481_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_481_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_481_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_481_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_481_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_486_0	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_486_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_486_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_486_11	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_486_12	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_486_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_486_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_486_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_486_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_486_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_486_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_486_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_486_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_0	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_53_1	UNSAT	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_53_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_11	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_12	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_13	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_14	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_15	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_16	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_17	UNSAT	direct
