case,nodes,variables,median_seconds
qsynth_ea:411,271,3,0.001281875
qsynth_ea:412,81,2,0.000472668
qsynth_ea:413,46,2,0.000036570
qsynth_ea:414,254,2,0.000703968
qsynth_ea:415,50,1,0.000069009
qsynth_ea:416,129,3,0.000057360
qsynth_ea:417,111,3,0.000138659
qsynth_ea:418,127,2,0.000155979
qsynth_ea:419,154,3,0.000084880
qsynth_ea:420,419,2,0.000427879
qsynth_ea:421,260,2,0.001416274
qsynth_ea:422,606,2,0.000737207
qsynth_ea:423,113,2,0.000201649
qsynth_ea:424,24,2,0.000009100
qsynth_ea:425,2641,2,0.010017156
qsynth_ea:426,245,2,0.000121369
qsynth_ea:427,394,3,0.001047327
qsynth_ea:428,94,2,0.000151230
qsynth_ea:429,301,2,0.000339869
qsynth_ea:430,359,3,0.002868030
qsynth_ea:431,115,2,0.000175949
qsynth_ea:432,47,2,0.000087889
qsynth_ea:433,299,3,0.001118497
qsynth_ea:434,121,2,0.000298679
qsynth_ea:435,127,3,0.000016130
qsynth_ea:436,132,2,0.000143319
qsynth_ea:437,57,2,0.000013210
qsynth_ea:438,229,3,0.001638045
qsynth_ea:439,20,3,0.000008760
qsynth_ea:440,480,2,0.000099849
qsynth_ea:441,43,2,0.000015399
qsynth_ea:442,921,2,0.004096377
qsynth_ea:443,243,2,0.000276579
qsynth_ea:444,401,3,0.001950003
qsynth_ea:445,213,3,0.000591058
qsynth_ea:446,161,3,0.000064500
qsynth_ea:447,164,3,0.000361639
qsynth_ea:448,227,2,0.000077559
qsynth_ea:449,63,2,0.000066410
qsynth_ea:450,139,2,0.000239409
qsynth_ea:451,57,3,0.000084399
qsynth_ea:452,671,3,0.020241199
qsynth_ea:453,145,2,0.000056030
qsynth_ea:454,104,2,0.000452179
qsynth_ea:455,450,2,0.000050030
qsynth_ea:456,348,2,0.000182379
qsynth_ea:457,441,3,0.001245436
qsynth_ea:458,642,2,0.000236869
qsynth_ea:459,60,3,0.000057320
qsynth_ea:460,45,2,0.000085770
qsynth_ea:461,1461,2,0.000642458
qsynth_ea:462,493,3,0.001045456
qsynth_ea:463,30,1,0.000070160
qsynth_ea:464,93,2,0.000120759
qsynth_ea:465,457,3,0.001393735
qsynth_ea:466,158,2,0.000200299
qsynth_ea:467,390,2,0.000153840
qsynth_ea:468,149,3,0.000316799
qsynth_ea:469,41,2,0.000013790
qsynth_ea:470,102,3,0.000061849
qsynth_ea:471,93,2,0.000104710
qsynth_ea:472,168,3,0.000398319
qsynth_ea:473,27,2,0.000009260
qsynth_ea:474,72,3,0.001009837
qsynth_ea:475,149,2,0.000385719
qsynth_ea:476,600,3,0.000408568
qsynth_ea:477,284,3,0.001353855
qsynth_ea:478,220,2,0.000017760
qsynth_ea:479,67,2,0.000078429
qsynth_ea:480,92,3,0.000027940
qsynth_ea:481,348,3,0.001900954
qsynth_ea:482,29,1,0.000011130
qsynth_ea:483,88,2,0.000257599
qsynth_ea:484,246,2,0.000760078
qsynth_ea:485,1189,2,0.000054469
qsynth_ea:486,244,3,0.002416052
qsynth_ea:487,64,2,0.000077569
qsynth_ea:488,194,2,0.000180380
qsynth_ea:489,93,2,0.000054779
qsynth_ea:490,674,3,0.017713778
qsynth_ea:491,17,1,0.000029640
qsynth_ea:492,200,2,0.000256429
qsynth_ea:493,1013,3,0.003863157
qsynth_ea:494,970,3,0.005054003
qsynth_ea:495,30,3,0.000010230
qsynth_ea:496,341,2,0.000247189
qsynth_ea:497,90,2,0.000089330
qsynth_ea:498,199,2,0.000044070
qsynth_ea:499,65,2,0.000046040
qsynth_ea:500,541,3,0.000614338
